periodo	Euro	Libra Esterlina	Peso Mexicano
Ene02	0.883095781	1.432254368	9.1614
Feb02	0.870011571	1.422475107	9.1062
Mar02	0.875771774	1.422373942	9.0809
Abr02	0.885770975	1.442564302	9.1317
May02	0.916926462	1.459278824	9.4899
Jun02	0.955082471	1.486038667	9.7378
Jul02	0.992043809	1.553373928	9.7978
Ago02	0.977803853	1.53609831	9.8258
Sep02	0.980786395	1.554557184	10.0425
Oct02	0.980805634	1.557171554	10.0961
Nov02	0.991866693	1.561597202	10.2032
Dic02	1.018008572	1.58621893	10.1982
Ene03	1.061965699	1.616161616	10.5762
Feb03	1.077272776	1.609424792	10.9216
Mar03	1.080391966	1.582729258	10.9427
Abr03	1.084586935	1.574133833	10.6324
May03	1.156724619	1.622770719	10.2506
Jun03	1.16613996	1.660467588	10.4953
Jul03	1.137087237	1.624668974	10.4434
Ago03	1.113536145	1.594031944	10.7327
Sep03	1.121667246	1.610098538	10.9255
Oct03	1.169153066	1.676164935	11.1704
Nov03	1.169905355	1.688846855	11.1145
Dic03	1.228878648	1.750179393	11.2629
Ene04	1.261208995	1.821559984	10.9308
Feb04	1.264510255	1.867099834	11.0128
Mar04	1.226091221	1.827552177	10.9984
Abr04	1.198911388	1.802483823	11.2535
May04	1.199644905	1.785682399	11.5119
Jun04	1.213768995	1.827451984	11.379
Jul04	1.226467161	1.841315436	11.4735
Ago04	1.217478116	1.819405782	11.3957
Sep04	1.221717246	1.792692983	11.4858
Oct04	1.248704469	1.805738637	11.3864
Nov04	1.298937469	1.859565605	11.3938
Dic04	1.33763159	1.929347302	11.21
Ene05	1.324520855	1.883735825	11.2556
Feb05	1.301253107	1.887433468	11.1502
Mar05	1.318878426	1.905451497	11.1326
Abr05	1.293744744	1.894585275	11.1262
May05	1.269164382	1.857044699	10.992
Jun05	1.216426625	1.818777054	10.834
Jul05	1.203644636	1.75048576	10.6931
Ago05	1.22919586	1.793239487	10.6703
Sep05	1.225415109	1.807991322	10.7791
Oct05	1.201417673	1.763637326	10.8312
Nov05	1.178480938	1.735086928	10.6903
Dic05	1.18555051	1.745231156	10.6201
Ene06	1.210214208	1.766191561	10.5679
Feb06	1.193801781	1.748068384	10.4813
Mar06	1.201937523	1.743405568	10.7061
Abr06	1.226963755	1.766316347	11.0206
May06	1.276910897	1.869473369	11.0758
Jun06	1.264894128	1.843317972	11.3864
Jul06	1.268311244	1.844303868	11.0268
Ago06	1.281115083	1.892756421	10.8739
Sep06	1.272718017	1.886187449	10.9722
Oct06	1.261065853	1.874871103	10.9201
Nov06	1.287962701	1.911497658	10.8948
Dic06	1.321248315	1.963826319	10.865
Ene07	1.299747826	1.959247649	10.9344
Feb07	1.307360439	1.95683228	10.988
Mar07	1.324135009	1.947192149	11.125
Abr07	1.351533991	1.989891352	10.9924
May07	1.351113993	1.983575991	10.8301
Jun07	1.341813595	1.985624082	10.8338
Jul07	1.371516348	2.033181522	10.7963
Ago07	1.362156566	2.00932326	11.0363
Sep07	1.389390613	2.016535592	11.045
Oct07	1.422677479	2.043193102	10.8418
Nov07	1.468256299	2.070736354	10.8658
Dic07	1.45787471	2.023472278	10.8494
Ene08	1.471713663	1.969628331	10.9171
Feb08	1.474600015	1.963672067	10.7794
Mar08	1.552361141	2.003486066	10.7346
Abr08	1.574942042	1.980982567	10.5295
May08	1.555592198	1.965370177	10.4542
Jun08	1.555185767	1.963864886	10.3305
Jul08	1.576913979	1.98870416	10.239
Ago08	1.496871538	1.949583764	10.0906
Sep08	1.436595842	1.796364159	10.5744
Oct08	1.330459541	1.688761294	12.4738
Nov08	1.273090682	1.534589651	13.0609
Dic08	1.362249346	1.487088355	13.3726
Ene09	1.323980733	1.440677234	13.8492
Feb09	1.278380037	1.440154385	14.518
Mar09	1.303843862	1.411203545	14.7393
Abr09	1.318847117	1.46952715	13.489
May09	1.362804433	1.540350245	13.2167
Jun09	1.401535803	1.635603824	13.3439
Jul09	1.408678871	1.634905895	13.3619
Ago09	1.426737052	1.654842815	13.0015
Sep09	1.455970718	1.633594545	13.3987
Oct09	1.481510014	1.6178481	13.2626
Nov09	1.491375376	1.65862785	13.1305
Dic09	1.459907296	1.624070017	12.8504
Ene10	1.4269834	1.617141702	12.807
Feb10	1.368428975	1.561733774	12.9624
Mar10	1.359258932	1.504691628	12.6138
Abr10	1.340771936	1.532475454	12.242
May10	1.255882238	1.463107025	12.6826
Jun10	1.220713556	1.462516435	12.7234
Jul10	1.2778181	1.528864971	12.8341
Ago10	1.289061795	1.589582512	12.7261
Sep10	1.306888873	1.557215201	12.861
Oct10	1.389705341	1.585783766	12.4535
Nov10	1.365364791	1.596801288	12.3251
Dic10	1.321850856	1.560300951	12.4011
Ene11	1.337285714	1.578797619	12.11654524
Feb11	1.3661825	1.613605	12.0661275
Mar11	1.401913043	1.616126087	11.99718913
Abr11	1.447092857	1.638471429	11.69494048
May11	1.432438636	1.633904545	11.65189773
Jun11	1.439965909	1.621863636	11.81400455
Jul11	1.429430952	1.615640476	11.66579524
Ago11	1.433876087	1.635921739	12.24547826
Sep11	1.375077273	1.577302273	13.08301364
Oct11	1.372509524	1.57712619	13.44750238
Nov11	1.355306818	1.580011364	13.71370682
Dic11	1.314722727	1.558618182	13.78979318
