periodo	Demanda Interna	Consumo Privado	Consumo Público	Inversión Bruta Interna	Inversión Bruta Fija	Inversión Bruta Fija - Privada	Inversión Bruta Fija - Pública	Variación de Inventarios	Exportaciones	Importaciones	PBI
T190	40113.07611	28405.80363	5627.162572	6080.109917	6017.698108	4770.910288	1246.787821	62.41180849	6280.480711	5953.048557	40440.50827
T290	38892.74059	26295.67901	4386.336301	8210.72527	6183.529511	4886.589235	1296.940277	2027.195759	6166.091355	4741.896271	40316.93567
T390	31649.43109	24792.35794	3116.986283	3740.086864	4641.122716	3846.610556	794.5121601	-901.0358522	6725.974146	4440.89458	33934.51065
T490	34040.35016	26241.15942	3118.514844	4680.675892	4980.43403	3654.778762	1325.655268	-299.7581382	6624.418016	3864.722763	36800.04541
T191	34349.02461	25969.78914	4146.836256	4232.399213	4659.602878	3791.465615	868.137263	-427.2036654	6490.052956	4549.420904	36289.65666
T291	38475.70981	27033.7561	3783.71229	7658.241423	5382.849555	4225.174184	1157.675371	2275.391867	7294.497835	5575.841941	40194.36571
T391	38423.85606	28476.72124	4119.160094	5827.974724	6022.08212	4751.596375	1270.485745	-194.1073955	6954.970298	5934.497734	39444.32862
T491	38526.86139	28184.73352	4518.29136	5823.836518	6162.460968	4386.162345	1776.298623	-338.6244491	6557.545768	6158.758155	38925.64901
T192	38207.45602	28360.22327	3857.522789	5989.709957	5690.638365	4622.056607	1068.581758	299.0715924	6699.924627	6353.495123	38553.88552
T292	38577.0454	26637.29959	4206.670348	7733.075457	5395.71168	4040.395025	1355.316655	2337.363777	6686.12063	5843.068085	39420.09794
T392	35437.92576	25928.3959	4404.430657	5105.099199	5673.876312	4077.953549	1595.922763	-568.7771136	7120.139919	5724.99469	36833.07099
T492	37518.17224	27926.08123	4568.376207	5023.714801	5785.689483	3709.862279	2075.827204	-761.9746821	7975.33115	6283.557842	39209.94555
T193	37462.5861	26753.43371	4296.332163	6412.820228	5405.66024	3960.002495	1445.657744	1007.159988	6621.564948	5625.379618	38458.77143
T293	40590.78889	27582.57528	4475.457159	8532.75645	5723.817198	4129.651843	1594.165356	2808.939252	7138.240956	6082.462653	41646.56719
T393	40024.50216	29633.42748	4519.656068	5871.418607	6325.397406	4682.28381	1643.113596	-453.9787987	7028.294592	6369.130508	40683.66624
T493	39745.95208	29710.56352	4271.55461	5763.833945	7686.138058	5256.505355	2429.632703	-1922.304113	8582.807706	7024.764651	41303.99513
T194	41666.15512	29220.9309	3619.429369	8825.794842	7321.235072	4884.519258	2436.715813	1504.55977	8761.624636	7054.102339	43373.67741
T294	44852.04262	31996.96197	4431.164974	8423.915682	7774.480013	5331.925437	2442.554576	649.4356695	9407.223638	7549.317309	46709.94895
T394	43212.70566	30626.96867	5167.16668	7418.57031	9051.965709	6962.466486	2089.499223	-1633.395399	9978.7018	8097.342547	45094.06491
T494	46605.60429	32588.13846	5868.238977	8149.226852	10204.72777	7909.088819	2295.638948	-2055.500915	9349.072011	9088.696255	46865.98004
T195	47458.65648	32192.37247	5156.358665	10109.92534	9741.085499	7397.090261	2343.995238	368.8398408	9508.01035	9686.198068	47280.46876
T295	50626.39108	33142.43319	4971.894871	12512.06302	10568.9771	8187.123225	2381.853873	1943.085925	9875.550888	9786.407741	50715.53423
T395	48943.15543	35083.85697	5257.047844	8602.250612	10751.38176	8674.805506	2076.576252	-2149.131146	10273.3957	10420.87586	48795.67526
T495	49159.86204	35856.33737	5322.69862	7980.82605	10024.34918	7686.981008	2337.368174	-2043.523132	10086.51713	10502.06598	48744.31318
T196	46881.94064	33438.20898	4804.740359	8638.991303	9329.277848	7291.922494	2037.355354	-690.2865444	10284.60005	9281.915258	47884.62544
T296	51827.87855	34018.87419	5529.656672	12279.34769	9768.536519	7817.335534	1951.200986	2510.811174	10348.80052	10262.99879	51913.68028
T396	49180.9696	36007.03871	5293.8598	7880.071087	10026.92661	7937.304108	2089.622498	-2146.855518	11262.50478	10370.87359	50072.60079
T496	50655.76035	36036.87812	5990.743169	8628.139059	10993.88738	8200.437864	2793.44952	-2365.748325	11016.60408	10533.98121	51138.38322
T197	48928.95134	34934.56897	5321.030835	8673.351526	9811.602189	7963.673065	1847.929124	-1138.250663	11405.38366	9969.463535	50364.87147
T297	54740.7996	35514.10058	5251.594867	13975.10415	10639.35812	8469.337047	2170.021069	3335.746037	12749.43373	11303.76575	56186.46758
T397	53304.15304	36993.29305	5873.944852	10436.91514	12131.90531	9557.20215	2574.703163	-1694.990169	12169.90031	12194.4708	53279.58255
T497	54403.72163	37113.0374	6815.429446	10475.25479	13805.64433	10250.78774	3554.856591	-3330.38954	11696.30683	11902.65867	54197.36979
T198	52421.06355	34159.55684	5573.012157	12688.49455	11346.26748	9139.308587	2206.958895	1342.227071	10476.06435	11410.25162	51486.87629
T298	55009.66073	35324.9172	5268.205535	14416.538	11865.51896	9335.394455	2530.124507	2551.019038	11661.12219	12191.98974	54478.79318
T398	51680.02204	36279.11779	5907.011361	9493.892886	11678.54755	8873.345338	2805.202209	-2184.65466	13617.0146	11782.19108	53514.84555
T498	49709.71555	35934.40817	7095.770947	6679.536431	11343.67956	8024.951621	3318.727936	-4664.143126	15039.27708	11039.51425	53709.47838
T199	47790.37485	35109.74979	5543.200274	7137.424781	9303.378137	7032.184692	2271.193445	-2165.953356	12747.27999	9323.021199	51214.63364
T299	51877.19397	35132.2206	5869.26222	10875.71115	10088.51616	7133.980943	2954.53522	787.1949844	13069.14477	9428.557725	55517.78101
